,id,isResult,h,a,goals,xG,forecast,year
58,2647,True,"{'id': '199', 'title': 'FC Orenburg', 'short_title': 'ORE'}","{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'h': '0', 'a': '1'}","{'h': '0.590893', 'a': '0.458161'}","{'w': '0.3368', 'd': '0.4413', 'l': '0.2219'}",2016
59,2648,True,"{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'h': '0', 'a': '0'}","{'h': '0.795447', 'a': '0.673232'}","{'w': '0.3541', 'd': '0.3781', 'l': '0.2678'}",2016
60,2649,True,"{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'h': '0', 'a': '1'}","{'h': '1.29097', 'a': '1.00118'}","{'w': '0.417', 'd': '0.2939', 'l': '0.2891'}",2016
61,2650,True,"{'id': '193', 'title': 'Anzhi Makhachkala', 'short_title': 'ANZ'}","{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'h': '2', 'a': '2'}","{'h': '0.969078', 'a': '1.67139'}","{'w': '0.1613', 'd': '0.296', 'l': '0.5427'}",2016
62,2651,True,"{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'id': '194', 'title': 'Krylya Sovetov Samara', 'short_title': 'KSS'}","{'h': '0', 'a': '0'}","{'h': '0.229011', 'a': '0.279956'}","{'w': '0.157', 'd': '0.6356', 'l': '0.2074'}",2016
63,2652,True,"{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'id': '201', 'title': 'Tom Tomsk', 'short_title': 'TOM'}","{'h': '2', 'a': '1'}","{'h': '1.36894', 'a': '0.732446'}","{'w': '0.5423', 'd': '0.28', 'l': '0.1777'}",2016
64,2653,True,"{'id': '201', 'title': 'Tom Tomsk', 'short_title': 'TOM'}","{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'h': '1', 'a': '1'}","{'h': '1.0706', 'a': '0.725315'}","{'w': '0.4582', 'd': '0.3271', 'l': '0.2147'}",2016
65,2654,True,"{'id': '194', 'title': 'Krylya Sovetov Samara', 'short_title': 'KSS'}","{'id': '193', 'title': 'Anzhi Makhachkala', 'short_title': 'ANZ'}","{'h': '2', 'a': '1'}","{'h': '0.628813', 'a': '0.447609'}","{'w': '0.3411', 'd': '0.4422', 'l': '0.2167'}",2016
66,2655,True,"{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'h': '1', 'a': '1'}","{'h': '1.93332', 'a': '0.588261'}","{'w': '0.7548', 'd': '0.1867', 'l': '0.0585'}",2016
67,2656,True,"{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'id': '199', 'title': 'FC Orenburg', 'short_title': 'ORE'}","{'h': '2', 'a': '1'}","{'h': '1.76292', 'a': '1.36727'}","{'w': '0.46', 'd': '0.2971', 'l': '0.2429'}",2016
